Target;Direct;Referral;Organic Search;Paid Search;Organic Social;Paid Social;Email;Display Ads
zigdao.com;1863;1381;990;0;0;0;0;0
signals.blue;0;0;134;0;0;0;0;0
4c-trading.com;0;112;0;0;0;0;0;0
cryptoalarm.net;0;0;0;0;0;0;0;0
learn2.trade;848;0;0;0;0;0;0;0
fatpigsignals.com;8;396;490;0;0;0;0;0
cryptosignals.guru;0;0;0;0;0;0;0;0
2moon.co;0;0;0;0;0;0;0;0
universalcryptosignals.com;0;286;0;0;0;0;0;0
dash2trade.com;1905;1818;735;0;0;0;0;0
wundertrading.com;12997;2829;22551;0;0;0;177;0
cryptobasescanner.com;0;0;0;0;0;0;0;0
bitbotapp.com;0;0;0;0;0;0;0;0
avatrade.com;279698;156091;109492;13402;55;0;1487;0
momentumcryptos.com;0;56668;56668;0;0;0;0;0
kryll.io;8088;736;873;0;262;0;0;0
3commas.io;709595;61225;50902;0;5376;0;903;1063
cryptohopper.com;712961;12523;16856;0;0;0;0;0
altrady.com;18498;1952;8025;0;434;0;0;0
cornix.io;64671;13940;12620;0;262;0;468;227
bitsgap.com;139764;111127;27467;0;219;0;0;848
tradesanta.com;20399;21160;63199;0;0;0;0;9194
haasonline.com;1390;3022;2143;0;0;0;0;0
falconx.io;494;1088;494;0;0;0;0;0
coinbase.com;22557286;3286689;5922792;9485;105872;3977;198378;692
kraken.com;4002697;285917;965268;17841;7761;178;16586;23830
stormgain.com;928362;86581;362070;0;6757;0;4874;0
rektcapital.co;217920;1537;494;0;16612;0;0;0
wolfxsignals.com;1266;224;519;130;156;0;0;0
cryptoinnercircle.org;0;0;0;0;0;0;0;0
binancekillers.com;0;0;254;0;0;0;0;0
marketliberator.xyz;0;0;1996;0;0;0;0;0
lunetrading.com;13190;87;1517;0;0;0;0;0
nansen.ai;126460;15605;39705;242;94778;0;172;606
moralismoney.com;132388;42752;4727;0;2964;0;1;0
marketciphertrading.com;14280;144;1421;376;3915;0;0;0
marketliberator.xyz;0;0;1996;0;0;0;0;0