Target;Visits;Unique Visitors;Pages / Visit;Avg. Visit Duration;Bounce Rate
zigdao.com;4.2K;2.9K;1.4;"07:13
";"81.37%
"
signals.blue;"134
";"107
";"2
";"15:28
";"0%
"
4c-trading.com;"112
";"111
";"1
";"00:00
";"100%
"
learn2.trade;848;"555
";"1
";"00:00
";"100%
"
fatpigsignals.com;"894
";"661
";"1.1
";"18:58
";"91.28%
"
univer...ignals.com;"286
";"161
";"1
";"00:00
";100Â %
dash2trade.com;"4.5K
";3.4K;1.2;"18:38
";"89.57%
"
wund...rading.com;"38.6K
";"26.2K
";"3.2
";"07:38
";"61.82%
"
avatrade.com;"560.2K
";"286.6K
";"2
";"13:58
";"59.1%
"
mom...ryptos.com;"113.3K
";"56.7K
";"3
";"06:02
";"0%
"
kryll.io;"10K
";6.5K;"3.4
";"02:17
";"2.43%
"
3commas.io;"829.1K
";"146.4K
";"2.8
";"24:30
";"49.17%
"
cryptohopper.com;"742.3K
";"160.4K
";"9.2
";"26:37
";"19.1%
"
altrady.com;"28.9K
";"11.7K
";"1.7
";"05:46
";"66.9%
"
cornix.io;"92.2K
";"25.5K
";"2.6
";"30:29
";"63.41%
"
bitsgap.com;"279.4K
";"132.6K
";"1.2
";"06:39
";"87.03%
"
tradesanta.com;"114K
";"84.5K
";"1.2
";"03:48
";"88.44%
"
haasonline.com;"6.6K
";"4.6K
";"1.7
";"04:31
";"56.89%
"
falconx.io;"2.1K
";"2.1K
";"1
";"00:00
";"100%
"
coinbase.com;"32.1M
";"14.9M
";"2.3
";"10:05
";"59.24%
"
kraken.com;"5.3M
";"2.4M
";"2.4
";"12:06
";"59.31%
"
nansen.ai;277.6K;"154.9K
";"1.9
";"06:39
";"60.08%
"
moralismoney.com;"182.8K
";"57.6K
";"2.1
";"24:33
";"62.41%
"
mark...rading.com;"20.1K
";"18.6K
";"1.8
";"02:18
";"67%
"
marketliberator.xyz;"2K
";"1.8K
";"1
";"00:00
";"100%
"
lunetrading.com;"14.8K
";"8.1K
";"1.5
";"00:26
";"51.89%
"
stormgain.com;"1.4M
";"569.2K
";2.6;"07:45
";"70.36%
"
rektcapital.co;"236.6K
";"32.7K
";"1.1
";"02:56
";"96.58%
"
wolfxsignals.com;"2.3K
";"1.9K
";"3.5
";"05:40
";"65.53%
"